,Start Time,End Time,Distance (mi),Duration (min),Fuel Cost (USD),Average MPG,Fuel Volume (gal),Hard Accelerations,Hard Brakes,Duration Over 70 mph (secs),Duration Over 75 mph (secs),Duration Over 80 mph (secs),Tags
190,2015-05-10 10:56:00,2015-05-10 11:19:00,15.52,23.23,1.13,37.4,0.42,0,0,13,0,0,commute
191,2015-04-29 20:18:00,2015-04-29 20:39:00,15.61,21.41,1.05,40.46,0.4,0,0,159,0,0,commute
192,2015-04-29 09:32:00,2015-04-29 09:55:00,15.51,22.55,1.06,36.93,0.42,1,0,0,0,0,commute
193,2015-04-28 21:52:00,2015-04-28 22:14:00,15.61,21.68,0.94,41.87,0.37,0,0,24,0,0,commute
194,2015-04-28 10:52:00,2015-04-28 11:17:00,15.54,25.15,1.07,35.99,0.42,1,0,3,0,0,commute
195,2015-04-27 21:56:00,2015-04-27 22:18:00,15.6,22.61,0.95,40.46,0.4,0,0,3,0,0,commute
196,2015-04-27 10:53:00,2015-04-27 11:17:00,15.47,24.25,1.0,38.1,0.4,1,0,0,0,0,commute
197,2015-04-26 21:47:00,2015-04-26 22:10:00,15.64,22.89,1.01,38.1,0.42,0,0,0,0,0,commute
198,2015-04-26 10:51:00,2015-04-26 11:11:00,14.33,20.02,0.89,39.52,0.37,0,0,22,0,0,commute
199,2015-04-25 18:47:00,2015-04-25 19:08:00,12.01,20.76,0.75,39.05,0.32,0,0,32,0,0,Other
200,2015-04-25 15:54:00,2015-04-25 16:12:00,11.35,17.88,0.71,39.52,0.29,0,0,164,0,0,Other
201,2015-04-25 14:50:00,2015-04-25 15:17:00,9.89,27.16,0.72,33.64,0.29,0,0,0,0,0,Other
202,2015-04-25 14:22:00,2015-04-25 14:37:00,6.42,14.76,0.41,38.1,0.16,0,0,0,0,0,Other
203,2015-04-25 14:07:00,2015-04-25 14:14:00,2.69,7.48,0.21,31.05,0.08,0,0,0,0,0,Other
204,2015-04-25 12:13:00,2015-04-25 12:27:00,6.02,14.67,0.45,32.93,0.18,0,0,0,0,0,Other
205,2015-04-25 10:00:00,2015-04-25 10:13:00,5.82,13.35,0.43,33.4,0.18,0,0,0,0,0,Other
206,2015-04-25 00:00:00,2015-04-25 00:23:00,17.41,22.9,1.03,41.4,0.42,0,0,33,0,0,Other
207,2015-04-24 16:57:00,2015-04-24 17:09:00,6.8,11.93,0.46,36.46,0.18,0,0,24,0,0,Other
208,2015-04-24 16:07:00,2015-04-24 16:22:00,9.78,15.63,0.62,38.58,0.26,0,0,145,0,0,Other
209,2015-04-24 14:18:00,2015-04-24 14:39:00,11.75,20.54,0.7,41.16,0.29,0,0,77,0,0,Other
210,2015-04-24 13:48:00,2015-04-24 14:01:00,5.14,13.3,0.38,33.17,0.16,0,0,0,0,0,Other
211,2015-04-24 13:06:00,2015-04-24 13:22:00,6.06,15.55,0.48,31.28,0.18,0,0,0,0,0,Other
212,2015-04-23 19:23:00,2015-04-23 19:43:00,10.35,19.41,0.62,39.99,0.26,1,0,4,0,0,Other
213,2015-04-23 17:35:00,2015-04-23 17:57:00,10.72,22.06,0.72,36.69,0.29,0,1,60,0,0,Other
214,2015-04-23 16:49:00,2015-04-23 17:01:00,4.45,12.48,0.35,31.05,0.13,0,0,0,0,0,Other
215,2015-04-23 13:40:00,2015-04-23 13:54:00,4.55,13.29,0.32,32.69,0.13,1,2,0,0,0,Other
216,2015-04-23 13:12:00,2015-04-23 13:14:00,0.21,2.0,0.03,16.7,0.0,0,0,0,0,0,Other
217,2015-04-23 12:51:00,2015-04-23 13:10:00,12.48,18.49,0.76,38.81,0.32,0,0,143,0,0,Other
